2648_1,2648_2,2649_1,2649_2,2660_1,2660_2,2661_1,2661_2,2662_1,2662_2,2663_1,2663_2,2990_1,2990_2,2994_1,2994_2,2995_2,2995_2,2999_1,2999_2,3004_1,3004_2,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,REM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,REM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,REM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,REM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,REM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,NREM,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,REM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,NREM,Wake,NREM,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,NREM,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,NREM,Wake,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,NREM,Wake,Wake,Wake,NREM,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,NREM,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
Wake,Wake,Wake,Wake,Wake,NREM,Wake,Wake,NREM,NREM,Wake,Wake,NREM,Wake,NREM,Wake,Wake,Wake,Wake,Wake,Wake,Wake,,
